"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1615938994,0,0,0,0,0,5072,9315,10272,18631,5072,9315,10272,18631,0,0,0,0
1615938995,0,0,0,0,0,5072,9315,10272,18631,5072,9315,10272,18631,0,0,0,0
1615938996,0,0,0,0,0,5072,9315,10272,18631,5072,9315,10272,18631,0,0,0,0
1615938997,0,0,0,0,0,5072,9315,10272,18631,5072,9315,10272,18631,0,0,0,0
1615938998,0,0,0,0,0,5072,9315,10272,18631,5072,9315,10272,18631,0,0,0,0
1615938999,0,0,0,0,0,5178,9370,10329,18741,5072,9315,10272,18631,106,55,57,110
1615939000,0,1,0,0,0,5202,9415,10377,18831,5178,9370,10329,18741,24,45,48,90
1615939001,0,1,0,0,0,5222,9449,10417,18899,5202,9415,10377,18831,20,34,40,68
1615939002,0,0,0,0,0,5246,9494,10465,18989,5222,9449,10417,18899,24,45,48,90
1615939003,0,0,0,0,0,5272,9539,10517,19079,5246,9494,10465,18989,26,45,52,90
1615939004,0,0,0,0,0,5297,9586,10569,19173,5272,9539,10517,19079,25,47,52,94
1615939005,0,0,0,0,0,5323,9631,10619,19263,5297,9586,10569,19173,26,45,50,90
1615939006,0,0,0,0,0,5342,9665,10657,19331,5323,9631,10619,19263,19,34,38,68
1615939007,0,0,0,0,0,5367,9710,10707,19421,5342,9665,10657,19331,25,45,50,90
1615939008,0,0,0,0,0,5392,9756,10757,19513,5367,9710,10707,19421,25,46,50,92
1615939009,0,0,0,0,0,5418,9801,10809,19603,5392,9756,10757,19513,26,45,52,90
1615939010,0,0,0,0,0,5437,9837,10849,19675,5418,9801,10809,19603,19,36,40,72
1615939011,0,0,0,0,0,5463,9882,10899,19765,5437,9837,10849,19675,26,45,50,90
